INFO  | 2023-03-19 07:14:46 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Starting ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:14:46 | [restartedMain] tomcat.TomcatWebServer (TomcatWebServer.java:220) - Tomcat started on port(s): 8090 (http) with context path '/bankapp'
INFO  | 2023-03-19 07:14:46 | [restartedMain] boot.StartupInfoLogger (StartupInfoLogger.java:61) - Started DemoApplication in 3.754 seconds (JVM running for 4.3)
INFO  | 2023-03-19 07:14:46 | [restartedMain] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call addAccount() method is 57 ms
INFO  | 2023-03-19 07:14:46 | [restartedMain] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call addAccount() method is 1 ms
INFO  | 2023-03-19 07:14:46 | [restartedMain] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call addUser() method is 87 ms
INFO  | 2023-03-19 07:14:46 | [restartedMain] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call addUser() method is 75 ms
INFO  | 2023-03-19 07:14:50 | [http-nio-8090-exec-2] logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing Spring DispatcherServlet 'dispatcherServlet'
INFO  | 2023-03-19 07:14:50 | [http-nio-8090-exec-2] servlet.FrameworkServlet (FrameworkServlet.java:525) - Initializing Servlet 'dispatcherServlet'
INFO  | 2023-03-19 07:14:50 | [http-nio-8090-exec-2] servlet.FrameworkServlet (FrameworkServlet.java:547) - Completed initialization in 2 ms
INFO  | 2023-03-19 07:14:50 | [http-nio-8090-exec-2] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call findByUsername() method is 79 ms
INFO  | 2023-03-19 07:14:51 | [http-nio-8090-exec-2] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call getAll() method is 4 ms
INFO  | 2023-03-19 07:15:00 | [http-nio-8090-exec-3] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call findByUsername() method is 4 ms
INFO  | 2023-03-19 07:15:00 | [http-nio-8090-exec-3] aspect.LoggingAspect (LoggingAspect.java:27) - time taken to call getAll() method is 2 ms
INFO  | 2023-03-19 07:16:37 | [File Watcher] autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener (LocalDevToolsAutoConfiguration.java:211) - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
INFO  | 2023-03-19 07:16:37 | [Thread-5] logging.DirectJDKLog (DirectJDKLog.java:173) - Pausing ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:16:37 | [Thread-5] logging.DirectJDKLog (DirectJDKLog.java:173) - Stopping service [Tomcat]
INFO  | 2023-03-19 07:16:37 | [Thread-5] logging.DirectJDKLog (DirectJDKLog.java:173) - Destroying Spring FrameworkServlet 'dispatcherServlet'
INFO  | 2023-03-19 07:16:37 | [Thread-5] logging.DirectJDKLog (DirectJDKLog.java:173) - Stopping ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:16:37 | [Thread-5] logging.DirectJDKLog (DirectJDKLog.java:173) - Destroying ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:16:37 | [Thread-5] jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:651) - Closing JPA EntityManagerFactory for persistence unit 'default'
INFO  | 2023-03-19 07:16:37 | [Thread-5] hikari.HikariDataSource (HikariDataSource.java:350) - HikariPool-1 - Shutdown initiated...
INFO  | 2023-03-19 07:16:37 | [Thread-5] hikari.HikariDataSource (HikariDataSource.java:352) - HikariPool-1 - Shutdown completed.
INFO  | 2023-03-19 07:16:37 | [restartedMain] boot.StartupInfoLogger (StartupInfoLogger.java:55) - Starting DemoApplication using Java 11.0.1 on raj-ThinkPad-E15-Gen-4 with PID 23565 (/home/raj/Documents/edu_feb_march_23/boot/05_bankapp_sec_db2/target/classes started by raj in /home/raj/Documents/edu_feb_march_23/boot/05_bankapp_sec_db2)
INFO  | 2023-03-19 07:16:37 | [restartedMain] boot.SpringApplication (SpringApplication.java:631) - No active profile set, falling back to 1 default profile: "default"
INFO  | 2023-03-19 07:16:38 | [restartedMain] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:132) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
INFO  | 2023-03-19 07:16:38 | [restartedMain] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:201) - Finished Spring Data repository scanning in 8 ms. Found 2 JPA repository interfaces.
INFO  | 2023-03-19 07:16:38 | [restartedMain] tomcat.TomcatWebServer (TomcatWebServer.java:108) - Tomcat initialized with port(s): 8090 (http)
INFO  | 2023-03-19 07:16:38 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing ProtocolHandler ["http-nio-8090"]
INFO  | 2023-03-19 07:16:38 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Starting service [Tomcat]
INFO  | 2023-03-19 07:16:38 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Starting Servlet engine: [Apache Tomcat/9.0.71]
INFO  | 2023-03-19 07:16:38 | [restartedMain] logging.DirectJDKLog (DirectJDKLog.java:173) - Initializing Spring embedded WebApplicationContext
INFO  | 2023-03-19 07:16:38 | [restartedMain] context.ServletWebServerApplicationContext (ServletWebServerApplicationContext.java:292) - Root WebApplicationContext: initialization completed in 301 ms
INFO  | 2023-03-19 07:16:38 | [restartedMain] util.LogHelper (LogHelper.java:31) - HHH000204: Processing PersistenceUnitInfo [name: default]
INFO  | 2023-03-19 07:16:38 | [restartedMain] hikari.HikariDataSource (HikariDataSource.java:110) - HikariPool-2 - Starting...
INFO  | 2023-03-19 07:16:38 | [restartedMain] hikari.HikariDataSource (HikariDataSource.java:123) - HikariPool-2 - Start completed.
INFO  | 2023-03-19 07:16:38 | [restartedMain] dialect.Dialect (Dialect.java:175) - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
INFO  | 2023-03-19 07:16:38 | [restartedMain] internal.JtaPlatformInitiator (JtaPlatformInitiator.java:52) - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
INFO  | 2023-03-19 07:16:38 | [restartedMain] jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
WARN  | 2023-03-19 07:16:38 | [restartedMain] jpa.JpaBaseConfiguration$JpaWebConfiguration (JpaBaseConfiguration.java:223) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
